Weather Set Name,Weather Station Name,Date,Min Temp [deg.C],Max Temp [deg.C],Accumulated Precip [mm],Wind Run [km/day],Min RH [%],Max RH [%],Solar Rad [kJ/m2/day],ET Rad,Net Rad,Incoming Rad,Last Modified,Modified By
ARDTWP,T001R19W4,2018/01/26,-13.6,-2.4,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/01/27,-17.6,-9.1,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/01/28,-17.5,-9.4,0.9,,,,,,,,,
ARDTWP,T001R19W4,2018/01/29,-9.5,8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/30,-2.3,5.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/01/31,-16.5,-1.2,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/02/01,-16.8,-2.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/02,-14.8,-6.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/03,-22.4,-5.3,2.3,,,,,,,,,
ARDTWP,T001R19W4,2018/02/04,-21.5,-8.1,6.2,,,,,,,,,
ARDTWP,T001R19W4,2018/02/05,-19.3,-12.4,3.4,,,,,,,,,
ARDTWP,T001R19W4,2018/02/06,-19.4,-10.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/07,-15.1,-3.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/08,-20,-13,4.8,,,,,,,,,
ARDTWP,T001R19W4,2018/02/09,-27.5,-15.4,0.8,,,,,,,,,
ARDTWP,T001R19W4,2018/02/10,-23.7,-6.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/11,-26.7,-9.4,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/02/12,-29.7,-10,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/13,-10.2,4.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/14,-15.3,0.5,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/02/15,-20,-7.4,0.7,,,,,,,,,
ARDTWP,T001R19W4,2018/02/16,-9,-1.2,1.4,,,,,,,,,
ARDTWP,T001R19W4,2018/02/17,-15.7,-8.5,4.8,,,,,,,,,
ARDTWP,T001R19W4,2018/02/18,-24.7,-15.6,1.8,,,,,,,,,
ARDTWP,T001R19W4,2018/02/19,-27.1,-16.2,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/02/20,-26.2,-12.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/21,-23.1,-9.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/22,-19.4,-9.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/23,-19.7,-6.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/24,-11.8,-3.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/25,-9.8,-1.2,1,,,,,,,,,
ARDTWP,T001R19W4,2018/02/26,-10.6,-1.7,1,,,,,,,,,
ARDTWP,T001R19W4,2018/02/27,-9.9,-1.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/02/28,-9.7,1.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/01,-10,-2.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/02,-10.7,-7.2,1.8,,,,,,,,,
ARDTWP,T001R19W4,2018/03/03,-18,-8.5,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/03/04,-20.8,-11.8,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/03/05,-21,-4.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/06,-18,-3.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/07,-14.5,-0.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/08,-12.5,0.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/09,-5.9,4.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/10,-7.6,3.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/11,-8.7,5.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/12,-8.4,6.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/13,-6.2,4.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/14,-6.8,5.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/15,-7,3.3,12.3,,,,,,,,,
ARDTWP,T001R19W4,2018/03/16,-9.6,0.8,0.5,,,,,,,,,
ARDTWP,T001R19W4,2018/03/17,-5.4,-0.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/18,-5.1,-1.3,3,,,,,,,,,
ARDTWP,T001R19W4,2018/03/19,-7.2,0.4,3.3,,,,,,,,,
ARDTWP,T001R19W4,2018/03/20,-5.5,4.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/21,-4.7,6.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/22,-3.1,1.8,1.1,,,,,,,,,
ARDTWP,T001R19W4,2018/03/23,-2.7,6.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/24,-4.3,4.8,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/03/25,-6,5.2,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/03/26,-5.5,3.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/27,-1.1,6.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/28,-3.5,2.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/29,-6,2.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/03/30,-14.4,5.1,3.2,,,,,,,,,
ARDTWP,T001R19W4,2018/03/31,-16.2,-8.6,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/04/01,-14.9,-5.3,2.7,,,,,,,,,
ARDTWP,T001R19W4,2018/04/02,-19.1,-9.5,1.3,,,,,,,,,
ARDTWP,T001R19W4,2018/04/03,-19.3,0.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/04,-12.7,4.8,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/04/05,-13.1,-7.9,2.1,,,,,,,,,
ARDTWP,T001R19W4,2018/04/06,-15.2,-9.4,1.7,,,,,,,,,
ARDTWP,T001R19W4,2018/04/07,-13.9,-5.8,4.6,,,,,,,,,
ARDTWP,T001R19W4,2018/04/08,-11.6,-3.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/09,-10.5,7.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/10,-0.7,8.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/11,-0.6,8.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/12,-3.7,-0.1,9.9,,,,,,,,,
ARDTWP,T001R19W4,2018/04/13,-3.9,5.7,1.1,,,,,,,,,
ARDTWP,T001R19W4,2018/04/14,1.6,10.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/15,0.4,11.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/16,-1.1,1.6,6.5,,,,,,,,,
ARDTWP,T001R19W4,2018/04/17,-2.8,7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/18,-1.3,9.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/19,-2.3,12.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/20,0.6,15.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/21,3,12.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/22,-0.5,10.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/23,-2.4,11.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/24,-0.4,21.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/25,2.7,12.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/26,1.2,21.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/27,2.9,23.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/28,5.5,26.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/29,2.6,13.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/04/30,1.8,13.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/01,2.2,10.2,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/05/02,1.7,17.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/03,2.7,21.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/04,9.3,21.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/05,7,20.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/06,5.3,24.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/07,9.8,23.4,0.3,,,,,,,,,
ARDTWP,T001R19W4,2018/05/08,9.3,21.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/09,5.1,16.5,8.5,,,,,,,,,
ARDTWP,T001R19W4,2018/05/10,4.4,15.8,0.5,,,,,,,,,
ARDTWP,T001R19W4,2018/05/11,0.7,7.6,0.7,,,,,,,,,
ARDTWP,T001R19W4,2018/05/12,0,18.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/13,4.4,22.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/14,6.2,25.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/15,10.3,27.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/16,10.7,26.8,2.3,,,,,,,,,
ARDTWP,T001R19W4,2018/05/17,5.2,14.5,8,,,,,,,,,
ARDTWP,T001R19W4,2018/05/18,4.3,7.3,15.4,,,,,,,,,
ARDTWP,T001R19W4,2018/05/19,3,12,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/20,3.9,23.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/21,9.2,23,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/22,8.3,24.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/23,8.4,25,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/24,9.9,26.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/25,12.7,26.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/26,12.2,21.7,0.5,,,,,,,,,
ARDTWP,T001R19W4,2018/05/27,10.2,24.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/28,10.1,27.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/29,10.3,18.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/30,7.2,19.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/05/31,6.1,9.7,7.3,,,,,,,,,
ARDTWP,T001R19W4,2018/06/01,6.1,14.5,2.8,,,,,,,,,
ARDTWP,T001R19W4,2018/06/02,6.9,19.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/03,6.5,25.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/04,9,22,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/05,3.4,20.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/06,4.3,23.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/07,7.3,26,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/08,12.2,26.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/09,9.5,27.6,17.6,,,,,,,,,
ARDTWP,T001R19W4,2018/06/10,5.4,14.1,5.7,,,,,,,,,
ARDTWP,T001R19W4,2018/06/11,3.9,14.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/12,4.5,19.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/13,6.8,22.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/14,5.9,18.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/15,5.4,17.7,17,,,,,,,,,
ARDTWP,T001R19W4,2018/06/16,7.9,13.9,12.9,,,,,,,,,
ARDTWP,T001R19W4,2018/06/17,6.4,18.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/18,7.7,13.5,7.5,,,,,,,,,
ARDTWP,T001R19W4,2018/06/19,9.9,18.7,3.2,,,,,,,,,
ARDTWP,T001R19W4,2018/06/20,7.8,22.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/21,10.7,26.2,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/06/22,11.1,23.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/23,9.5,16.6,5.2,,,,,,,,,
ARDTWP,T001R19W4,2018/06/24,11.9,24.6,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/06/25,11.1,26.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/26,7.9,20.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/27,5.8,22.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/28,8.3,18.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/06/29,7.8,18.5,0.8,,,,,,,,,
ARDTWP,T001R19W4,2018/06/30,6.4,21.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/01,8.8,20.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/02,5.9,16.4,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/07/03,5.8,14.8,6.4,,,,,,,,,
ARDTWP,T001R19W4,2018/07/04,6,19.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/05,7.2,26.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/06,13.6,33.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/07,10.9,26.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/08,7.6,25.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/09,9.5,30.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/10,12.2,26.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/11,9.4,24.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/12,10.9,28.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/13,12.5,31.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/14,8.1,19.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/15,6.5,27.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/16,9,31.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/17,12.6,33.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/18,14,28,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/19,11.3,28.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/20,10.7,30.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/21,5.6,27.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/22,5.2,22.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/23,6.8,27.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/24,9,24.3,8.7,,,,,,,,,
ARDTWP,T001R19W4,2018/07/25,10.5,22.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/26,9.2,23,3.5,,,,,,,,,
ARDTWP,T001R19W4,2018/07/27,6.8,24.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/28,10,25.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/29,9.3,28,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/30,11.4,32.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/07/31,12.2,28.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/01,12.9,32.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/02,11.8,31.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/03,7.8,27.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/04,9.8,22.8,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/08/05,8.5,22.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/06,9.4,29.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/07,14,29.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/08,12.1,32.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/09,14.6,35.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/10,17.3,38.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/11,14.8,26.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/12,10.3,25.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/13,7.8,20.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/14,8.4,28.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/15,12.3,30,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/16,9.7,30.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/17,15.7,31.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/18,8.3,22.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/19,4.8,21,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/20,7.1,19.1,2.7,,,,,,,,,
ARDTWP,T001R19W4,2018/08/21,4.4,22.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/22,7.5,30.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/23,13.2,29.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/24,7.6,19.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/25,4.3,21.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/26,9.1,19.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/27,1.6,9.9,35.9,,,,,,,,,
ARDTWP,T001R19W4,2018/08/28,1.3,20.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/29,8.7,23.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/30,8.6,22.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/08/31,3.6,22.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/01,6.3,18,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/02,4.8,21.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/03,4.7,18.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/04,3.5,14.7,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/09/05,2.2,21.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/06,5.5,26.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/07,10.3,28.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/08,11.6,24.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/09,7.8,21.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/10,7,22.9,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/09/11,4.6,17.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/12,3,16.2,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/09/13,0.5,6.5,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/09/14,0.3,13.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/15,3.3,12.5,0.2,,,,,,,,,
ARDTWP,T001R19W4,2018/09/16,3.1,12.8,7.2,,,,,,,,,
ARDTWP,T001R19W4,2018/09/17,1.1,16.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/18,1.4,7.5,0.5,,,,,,,,,
ARDTWP,T001R19W4,2018/09/19,2.6,12.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/20,2.7,13.5,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/09/21,3,17.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/22,1.8,6.6,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/09/23,0.3,15.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/24,1.2,12.6,1.7,,,,,,,,,
ARDTWP,T001R19W4,2018/09/25,2.2,16,0.5,,,,,,,,,
ARDTWP,T001R19W4,2018/09/26,5,18,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/27,1.7,8.3,12.1,,,,,,,,,
ARDTWP,T001R19W4,2018/09/28,1,5.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/09/29,-2.1,2.5,3.7,,,,,,,,,
ARDTWP,T001R19W4,2018/09/30,-4.1,-0.3,0.4,,,,,,,,,
ARDTWP,T001R19W4,2018/10/01,-2,10.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/02,-3.3,0.7,11.4,,,,,,,,,
ARDTWP,T001R19W4,2018/10/03,-5.3,0.5,3.5,,,,,,,,,
ARDTWP,T001R19W4,2018/10/04,-3.8,3.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/05,-4.1,10.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/06,-1.4,10.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/07,-3.4,11.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/08,-3.7,2,1,,,,,,,,,
ARDTWP,T001R19W4,2018/10/09,-4,-2.1,7,,,,,,,,,
ARDTWP,T001R19W4,2018/10/10,-3.9,-0.2,1.5,,,,,,,,,
ARDTWP,T001R19W4,2018/10/11,-2.5,4.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/12,-1.9,13.4,2,,,,,,,,,
ARDTWP,T001R19W4,2018/10/13,-4.1,-0.7,2.2,,,,,,,,,
ARDTWP,T001R19W4,2018/10/14,-5.9,7.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/15,4.8,15.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/16,2.6,18,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/17,2,22.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/18,3.6,19.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/19,0.2,16.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/20,2.9,22.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/21,-1,13.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/22,-3.3,14.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/23,-0.5,19.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/24,3.7,17,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/25,3,13.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/26,4.9,15.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/27,-1.3,13.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/28,-0.5,15.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/29,-0.8,10.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/30,-0.9,10.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/10/31,-0.5,8.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/01,0.5,5.6,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/11/02,-0.2,11.2,2.8,,,,,,,,,
ARDTWP,T001R19W4,2018/11/03,-2.1,10,4.1,,,,,,,,,
ARDTWP,T001R19W4,2018/11/04,-1.1,10.8,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/11/05,-7.4,-0.7,1.1,,,,,,,,,
ARDTWP,T001R19W4,2018/11/06,-10.5,-6.1,5.6,,,,,,,,,
ARDTWP,T001R19W4,2018/11/07,-15.6,-6.5,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/11/08,-14.9,-4.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/09,-13,3.2,0.7,,,,,,,,,
ARDTWP,T001R19W4,2018/11/10,-7.3,-0.9,7.6,,,,,,,,,
ARDTWP,T001R19W4,2018/11/11,-11.7,-2.8,0.8,,,,,,,,,
ARDTWP,T001R19W4,2018/11/12,-12.1,3.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/13,-2.1,7.7,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/14,1.5,7,0.1,,,,,,,,,
ARDTWP,T001R19W4,2018/11/15,0.9,6.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/16,-14,4.5,3.5,,,,,,,,,
ARDTWP,T001R19W4,2018/11/17,-17.3,-2.8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/18,-5.7,4.9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/19,-3.8,7.6,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/20,-0.1,10.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/21,0.7,9.3,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/22,-0.1,8.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/23,-4.5,5.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/24,-8.1,-1.9,0.6,,,,,,,,,
ARDTWP,T001R19W4,2018/11/25,-7.4,3.5,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/26,-3.4,8,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/27,3.1,9,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/28,-0.5,7.2,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/29,-3.3,6.4,0,,,,,,,,,
ARDTWP,T001R19W4,2018/11/30,-5.1,3.1,0,,,,,,,,,
ARDTWP,T001R19W4,2018/12/01,-5.4,-2.5,3.2,,,,,,,,,
ARDTWP,T001R19W4,2018/12/02,-10.2,-2.2,0.3,,,,,,,,,
